iter	Passed	Remaining
409	4516	6499
410	4527	6488
411	4538	6477
412	4549	6466
413	4560	6455
414	4571	6443
415	4581	6432
416	4592	6420
417	4603	6409
418	4614	6398
419	4625	6387
420	4636	6375
421	4646	6364
422	4658	6354
423	4667	6341
424	4678	6329
425	4688	6317
426	4699	6306
427	4709	6294
428	4720	6282
429	4730	6270
430	4740	6258
431	4751	6247
432	4761	6235
433	4772	6223
434	4782	6211
435	4792	6200
436	4803	6188
437	4814	6176
438	4824	6165
439	4835	6154
440	4846	6143
441	4856	6131
442	4867	6120
443	4878	6109
444	4889	6097
445	4900	6086
446	4910	6075
447	4921	6064
448	4933	6053
449	4944	6042
450	4954	6031
451	4966	6021
452	4976	6009
453	4987	5998
454	4998	5986
455	5008	5975
456	5019	5964
457	5030	5953
458	5041	5942
459	5052	5931
460	5063	5920
461	5074	5909
462	5084	5897
463	5094	5885
464	5104	5873
465	5114	5860
466	5124	5849
467	5135	5837
468	5145	5825
469	5155	5814
470	5166	5803
471	5177	5791
472	5187	5779
473	5197	5767
474	5208	5756
475	5218	5745
476	5229	5733
477	5239	5721
478	5249	5709
479	5259	5697
480	5270	5686
481	5281	5675
482	5292	5664
483	5303	5653
484	5313	5642
485	5324	5631
486	5334	5619
487	5344	5607
488	5355	5596
489	5367	5586
490	5378	5576
491	5389	5564
492	5400	5553
493	5411	5543
494	5422	5532
495	5434	5522
496	5445	5510
497	5456	5500
498	5467	5489
499	5478	5478
500	5489	5467
501	5500	5456
502	5511	5445
503	5521	5434
504	5533	5423
505	5543	5412
506	5555	5401
507	5566	5390
508	5577	5380
509	5588	5368
510	5598	5357
511	5609	5346
512	5619	5334
513	5630	5324
514	5641	5312
515	5651	5301
516	5662	5289
517	5673	5279
518	5684	5268
519	5694	5256
520	5704	5244
521	5715	5233
522	5726	5222
523	5736	5211
524	5747	5200
525	5758	5189
526	5769	5178
527	5780	5167
528	5791	5156
529	5803	5146
530	5814	5135
531	5825	5124
532	5836	5113
533	5847	5102
534	5857	5091
535	5868	5080
536	5879	5069
537	5890	5058
538	5902	5048
539	5913	5037
540	5924	5026
541	5934	5014
542	5945	5003
543	5955	4991
544	5965	4980
545	5975	4968
546	5986	4957
547	5996	4945
548	6006	4934
549	6017	4923
550	6027	4911
551	6037	4899
552	6047	4888
553	6058	4877
554	6068	4865
555	6079	4854
556	6090	4844
557	6101	4833
558	6112	4822
559	6123	4811
560	6133	4799
561	6144	4789
562	6155	4778
563	6166	4766
564	6177	4756
565	6189	4745
566	6200	4734
567	6211	4724
568	6221	4712
569	6232	4701
570	6243	4690
571	6254	4679
572	6264	4668
573	6275	4657
574	6285	4645
575	6296	4634
576	6307	4624
577	6318	4612
578	6328	4601
579	6338	4589
580	6348	4578
581	6358	4566
582	6368	4555
583	6378	4543
584	6388	4532
585	6398	4520
586	6409	4509
587	6420	4498
588	6430	4487
589	6440	4475
590	6450	4464
591	6460	4452
592	6471	4441
593	6482	4430
594	6492	4419
595	6503	4408
596	6514	4397
597	6525	4386
598	6536	4376
599	6547	4364
600	6557	4353
601	6568	4342
602	6579	4331
603	6589	4320
604	6600	4309
605	6611	4298
606	6622	4287
607	6633	4276
608	6644	4265
609	6654	4254
610	6665	4243
611	6675	4232
612	6686	4221
613	6696	4210
614	6707	4199
615	6719	4188
616	6730	4177
617	6740	4166
618	6750	4155
619	6761	4144
620	6771	4132
621	6782	4121
622	6792	4110
623	6802	4099
624	6813	4088
625	6823	4076
626	6834	4065
627	6844	4054
628	6854	4043
629	6865	4031
630	6876	4021
631	6887	4010
632	6897	3999
633	6908	3988
634	6919	3977
635	6930	3966
636	6941	3955
637	6952	3944
638	6962	3933
639	6974	3923
640	6984	3912
641	6996	3901
642	7007	3890
643	7017	3879
644	7028	3868
645	7039	3857
646	7050	3846
647	7060	3835
648	7071	3824
649	7082	3813
650	7093	3802
651	7104	3791
652	7115	3780
653	7125	3769
654	7136	3758
655	7147	3748
656	7157	3736
657	7167	3725
658	7178	3714
659	7188	3703
660	7198	3691
661	7208	3680
662	7218	3669
663	7229	3658
664	7239	3647
665	7250	3636
666	7261	3625
667	7271	3613
668	7281	3602
669	7291	3591
670	7302	3580
671	7313	3569
672	7324	3558
673	7334	3547
674	7346	3537
675	7357	3526
676	7368	3515
677	7379	3504
678	7390	3493
679	7401	3482
680	7411	3471
681	7422	3460
682	7433	3450
683	7444	3439
684	7455	3428
685	7466	3417
686	7477	3406
687	7488	3395
688	7499	3385
689	7510	3374
690	7521	3363
691	7532	3352
692	7543	3341
693	7554	3331
694	7565	3320
695	7576	3309
696	7587	3298
697	7597	3287
698	7607	3276
699	7618	3265
700	7628	3253
701	7639	3242
702	7650	3231
703	7660	3220
704	7670	3209
705	7681	3198
706	7691	3187
707	7701	3176
708	7711	3165
709	7721	3154
710	7732	3143
711	7743	3132
712	7754	3121
713	7766	3111
714	7781	3101
715	7795	3092
716	7809	3082
717	7822	3072
718	7835	3062
719	7846	3051
720	7858	3040
721	7871	3030
722	7886	3021
723	7900	3011
724	7913	3001
725	7925	2991
726	7937	2980
727	7950	2970
728	7963	2960
729	7976	2950
730	7989	2939
731	8002	2929
732	8014	2919
733	8027	2909
734	8039	2898
735	8052	2888
736	8064	2877
737	8076	2867
738	8089	2857
739	8102	2846
740	8115	2836
741	8128	2826
742	8140	2815
743	8153	2805
744	8166	2795
745	8178	2784
746	8191	2774
747	8203	2763
748	8216	2753
749	8228	2742
750	8241	2732
751	8254	2722
752	8266	2711
753	8279	2701
754	8292	2690
755	8304	2680
756	8316	2669
757	8328	2659
758	8341	2648
759	8353	2637
760	8365	2627
761	8378	2616
762	8391	2606
763	8403	2595
764	8416	2585
765	8429	2575
766	8441	2564
767	8454	2553
768	8466	2543
769	8479	2532
770	8491	2522
771	8503	2511
772	8515	2500
773	8527	2489
774	8539	2479
775	8551	2468
776	8565	2458
777	8578	2447
778	8591	2437
779	8603	2426
780	8614	2415
781	8628	2405
782	8640	2394
783	8652	2383
784	8665	2373
785	8676	2362
786	8688	2351
787	8703	2341
788	8721	2332
789	8737	2322
790	8751	2312
791	8764	2301
792	8776	2290
793	8788	2280
794	8801	2269
795	8814	2259
796	8826	2248
797	8838	2237
798	8850	2226
799	8862	2215
800	8873	2204
801	8886	2194
802	8899	2183
803	8916	2173
804	8930	2163
805	8945	2153
806	8957	2142
807	8969	2131
808	8983	2120
809	8996	2110
810	9011	2100
811	9024	2089
812	9037	2078
813	9050	2068
814	9064	2057
815	9077	2046
816	9090	2036
817	9103	2025
818	9116	2014
819	9129	2004
820	9141	1993
821	9154	1982
822	9167	1971
823	9180	1960
824	9192	1950
825	9205	1939
826	9217	1928
827	9230	1917
828	9243	1906
829	9255	1895
830	9267	1884
831	9279	1873
832	9290	1862
833	9303	1851
834	9320	1841
835	9335	1831
836	9348	1820
837	9363	1810
838	9376	1799
839	9389	1788
840	9401	1777
841	9414	1766
842	9427	1755
843	9440	1744
844	9453	1734
845	9466	1723
846	9479	1712
847	9492	1701
848	9506	1690
849	9519	1679
850	9531	1668
851	9544	1658
852	9556	1646
853	9569	1635
854	9581	1624
855	9593	1613
856	9605	1602
857	9617	1591
858	9629	1580
859	9641	1569
860	9653	1558
861	9664	1547
862	9675	1535
863	9686	1524
864	9698	1513
865	9710	1502
866	9721	1491
867	9733	1480
868	9745	1469
869	9757	1457
870	9768	1446
871	9780	1435
872	9792	1424
873	9805	1413
874	9817	1402
875	9829	1391
876	9841	1380
877	9853	1369
878	9864	1357
879	9875	1346
880	9886	1335
881	9899	1324
882	9911	1313
883	9922	1302
884	9936	1291
885	9950	1280
886	9962	1269
887	9976	1258
888	9987	1247
889	10000	1236
890	10012	1224
891	10025	1213
892	10036	1202
893	10049	1191
894	10061	1180
895	10075	1169
896	10089	1158
897	10101	1147
898	10115	1136
899	10129	1125
900	10142	1114
901	10155	1103
902	10169	1092
903	10181	1081
904	10194	1070
905	10207	1059
906	10220	1047
907	10232	1036
908	10247	1025
909	10260	1014
910	10275	1003
911	10291	993
912	10309	982
913	10323	971
914	10335	960
915	10347	948
916	10359	937
917	10375	926
918	10392	916
919	10405	904
920	10418	893
921	10433	882
922	10448	871
923	10461	860
924	10476	849
925	10491	838
926	10506	827
927	10520	816
928	10532	804
929	10547	793
930	10562	782
931	10575	771
932	10588	760
933	10600	749
934	10612	737
935	10625	726
936	10637	715
937	10649	703
938	10662	692
939	10674	681
940	10687	670
941	10700	658
942	10713	647
943	10726	636
944	10739	625
945	10750	613
946	10762	602
947	10774	590
948	10785	579
949	10796	568
950	10809	556
951	10821	545
952	10833	534
953	10845	522
954	10857	511
955	10869	500
956	10882	488
957	10893	477
958	10905	466
959	10916	454
960	10930	443
961	10946	432
962	10962	421
963	10975	409
964	10991	398
965	11003	387
966	11016	375
967	11030	364
968	11044	353
969	11057	341
970	11073	330
971	11087	319
972	11101	308
973	11114	296
974	11126	285
975	11139	273
976	11152	262
977	11167	251
978	11179	239
979	11192	228
980	11205	217
981	11218	205
982	11233	194
983	11246	182
984	11259	171
985	11273	160
986	11285	148
987	11298	137
988	11310	125
989	11323	114
990	11336	102
991	11351	91
992	11366	80
993	11379	68
994	11392	57
995	11406	45
996	11419	34
997	11432	22
998	11447	11
999	11465	0
