iter	RMSE
408	78.78277747
409	78.68732887
410	78.54831297
411	78.43532302
412	78.31943118
413	78.26843488
414	78.16816457
415	78.00191178
416	77.93659603
417	77.82718088
418	77.76799014
419	77.70206869
420	77.59753851
421	77.42399817
422	77.32422636
423	77.26792406
424	77.17582045
425	77.08481968
426	76.98303145
427	76.87524476
428	76.81121662
429	76.68374026
430	76.58958865
431	76.4830749
432	76.36195448
433	76.24471558
434	76.14539939
435	76.04864084
436	75.90844438
437	75.86362884
438	75.79554793
439	75.70930714
440	75.62233421
441	75.54943273
442	75.43034907
443	75.32285329
444	75.25110525
445	75.16011436
446	75.04304517
447	74.97485012
448	74.83994372
449	74.70373219
450	74.64181462
451	74.54024047
452	74.49885159
453	74.40610202
454	74.31064786
455	74.23206373
456	74.14343669
457	74.02852865
458	73.93152142
459	73.78927068
460	73.72062988
461	73.63481853
462	73.56128697
463	73.45274106
464	73.37755255
465	73.28728063
466	73.2034325
467	73.08676046
468	73.01858766
469	72.95986084
470	72.90311879
471	72.83376566
472	72.74338897
473	72.64845943
474	72.55344313
475	72.47314299
476	72.3620633
477	72.29034631
478	72.23499016
479	72.15177998
480	72.05918623
481	71.95149121
482	71.83730432
483	71.77814488
484	71.70843856
485	71.65894043
486	71.62055122
487	71.5771666
488	71.50420298
489	71.33931062
490	71.25883448
491	71.18387419
492	71.11692928
493	70.9709304
494	70.90331767
495	70.83506434
496	70.78876395
497	70.73268296
498	70.65773164
499	70.52629676
500	70.45545226
501	70.39350333
502	70.32396388
503	70.16927814
504	70.03569673
505	69.97412017
506	69.90484919
507	69.8227597
508	69.73472482
509	69.62665583
510	69.55982268
511	69.47456766
512	69.40241635
513	69.34205808
514	69.22988576
515	69.17114124
516	69.07025139
517	69.01256201
518	68.95032282
519	68.85869004
520	68.78696947
521	68.70625813
522	68.65408298
523	68.58077228
524	68.52725014
525	68.44270801
526	68.33432447
527	68.28713736
528	68.19939774
529	68.11538806
530	68.02881217
531	67.9413868
532	67.90224171
533	67.80914069
534	67.7312786
535	67.68395473
536	67.58678925
537	67.50792257
538	67.42232158
539	67.37845901
540	67.26535577
541	67.17834734
542	67.12126254
543	67.07908483
544	67.01544914
545	66.91503901
546	66.80721003
547	66.73894888
548	66.65388954
549	66.61026877
550	66.56131101
551	66.4916183
552	66.42508729
553	66.36462089
554	66.24635133
555	66.18875418
556	66.13277418
557	66.04939273
558	65.99777879
559	65.92326239
560	65.83538248
561	65.72409608
562	65.64987494
563	65.54530174
564	65.49111566
565	65.37609065
566	65.30777956
567	65.25084014
568	65.17129635
569	65.11356151
570	65.06464324
571	64.98758057
572	64.95220245
573	64.91781401
574	64.87351741
575	64.78740148
576	64.70490379
577	64.61572337
578	64.5400815
579	64.46712788
580	64.41040896
581	64.33522041
582	64.26260305
583	64.20656672
584	64.15680024
585	64.07679602
586	64.00615675
587	63.96498321
588	63.86096892
589	63.80078843
590	63.73961249
591	63.68540647
592	63.63467356
593	63.53990839
594	63.47317513
595	63.37643753
596	63.34042242
597	63.28473257
598	63.19280642
599	63.14789384
600	63.07819399
601	62.96900047
602	62.9223207
603	62.87816853
604	62.83937467
605	62.79616111
606	62.74748785
607	62.68347972
608	62.61133494
609	62.55128274
610	62.50495959
611	62.42234523
612	62.36894526
613	62.33362886
614	62.24923326
615	62.17766685
616	62.10093974
617	62.03603087
618	61.96237383
619	61.91964924
620	61.86789447
621	61.80806477
622	61.74521278
623	61.6594407
624	61.58109462
625	61.54813535
626	61.47671776
627	61.4329603
628	61.37661573
629	61.32359656
630	61.28354176
631	61.24117562
632	61.17659769
633	61.06364926
634	60.99286506
635	60.95312281
636	60.90492705
637	60.82905091
638	60.74034637
639	60.71195833
640	60.64966183
641	60.57034707
642	60.49400043
643	60.46356049
644	60.39112284
645	60.29293459
646	60.2412875
647	60.21053141
648	60.12763802
649	60.06690094
650	59.98490398
651	59.90380642
652	59.85560888
653	59.78243833
654	59.71511808
655	59.6467012
656	59.60985202
657	59.5334799
658	59.47081815
659	59.42549672
660	59.38892966
661	59.34002451
662	59.32032226
663	59.25522576
664	59.20069685
665	59.11530384
666	59.05311098
667	59.01733014
668	58.9745964
669	58.92586886
670	58.86872134
671	58.81425097
672	58.74168746
673	58.71094484
674	58.63627779
675	58.57971617
676	58.54074551
677	58.49235301
678	58.45154168
679	58.3945375
680	58.32895663
681	58.26011911
682	58.21026401
683	58.14378197
684	58.09637933
685	58.06414514
686	58.01252744
687	57.96589995
688	57.88614213
689	57.8154405
690	57.75944233
691	57.70391515
692	57.62699599
693	57.57750242
694	57.529461
695	57.4809034
696	57.42971933
697	57.39369747
698	57.32018516
699	57.25328866
700	57.19920378
701	57.14393982
702	57.09870585
703	57.0272513
704	56.95660821
705	56.91894623
706	56.88469497
707	56.83923368
708	56.79815979
709	56.75167898
710	56.71344701
711	56.63489302
712	56.56758614
713	56.52911333
714	56.47860964
715	56.43088469
716	56.37918497
717	56.30805657
718	56.25866006
719	56.19166667
720	56.16820445
721	56.11690725
722	56.04731218
723	55.99452533
724	55.95134874
725	55.91143821
726	55.86106695
727	55.82784312
728	55.76003778
729	55.71405598
730	55.67079674
731	55.59388105
732	55.55760307
733	55.51207816
734	55.4635834
735	55.4192115
736	55.37007554
737	55.33928406
738	55.28018037
739	55.18369255
740	55.13615695
741	55.10096574
742	55.04321818
743	55.00787806
744	54.97427809
745	54.91456943
746	54.84268719
747	54.78517454
748	54.73041723
749	54.67841453
750	54.63273118
751	54.60922809
752	54.56582548
753	54.52273403
754	54.48792582
755	54.4598063
756	54.42756603
757	54.39200402
758	54.3458042
759	54.31042213
760	54.26021309
761	54.22534162
762	54.18255337
763	54.13262585
764	54.05926914
765	53.99676663
766	53.93365617
767	53.86818065
768	53.83037376
769	53.79866659
770	53.75984587
771	53.73152918
772	53.69013894
773	53.6580523
774	53.60085974
775	53.52363958
776	53.47760618
777	53.43153436
778	53.38635938
779	53.33394741
780	53.30935065
781	53.22752271
782	53.19222808
783	53.13339422
784	53.09716443
785	53.02900935
786	52.98958996
787	52.94923233
788	52.90108844
789	52.86173426
790	52.82782798
791	52.77460106
792	52.72281774
793	52.66811054
794	52.63132092
795	52.57892142
796	52.52696627
797	52.47889727
798	52.41624664
799	52.39369187
800	52.34092077
801	52.27554487
802	52.24404795
803	52.20705325
804	52.17046706
805	52.1430262
806	52.109927
807	52.0733434
808	52.02788905
809	51.9862698
810	51.95886613
811	51.91495123
812	51.90010963
813	51.84750845
814	51.77956623
815	51.74887329
816	51.70343493
817	51.65585474
818	51.62048038
819	51.58338619
820	51.5598639
821	51.51001234
822	51.48049545
823	51.43346142
824	51.41254527
825	51.36996981
826	51.33228685
827	51.30265227
828	51.27021918
829	51.2295041
830	51.16755779
831	51.11852965
832	51.07756997
833	51.04754546
834	51.01638034
835	50.97639025
836	50.93394497
837	50.92100993
838	50.86192311
839	50.83613542
840	50.79619051
841	50.75038961
842	50.71086901
843	50.67943825
844	50.61721402
845	50.57246994
846	50.54497812
847	50.50446591
848	50.43711697
849	50.40594161
850	50.35784926
851	50.31422237
852	50.28833105
853	50.24766201
854	50.19962966
855	50.16607131
856	50.12466398
857	50.06611539
858	50.03285114
859	49.97545424
860	49.93759698
861	49.90784995
862	49.88216685
863	49.81602867
864	49.78163465
865	49.75048577
866	49.72303122
867	49.70008501
868	49.66417591
869	49.6271913
870	49.57791701
871	49.52916743
872	49.49758012
873	49.47850643
874	49.44343575
875	49.40676657
876	49.37685888
877	49.3518166
878	49.31846901
879	49.27338856
880	49.2305831
881	49.1932229
882	49.16364914
883	49.13826314
884	49.06874605
885	49.03370886
886	49.00712307
887	48.96389477
888	48.91963597
889	48.88837599
890	48.86461639
891	48.81921012
892	48.79633971
893	48.77029963
894	48.73184617
895	48.67007723
896	48.61988969
897	48.59435624
898	48.55573282
899	48.49311975
900	48.44480991
901	48.41224689
902	48.36998695
903	48.3424787
904	48.32446799
905	48.28733948
906	48.26314166
907	48.21006489
908	48.18562964
909	48.16390587
910	48.12982309
911	48.08643555
912	48.05597938
913	48.02627452
914	48.01599812
915	47.96893034
916	47.91706853
917	47.86388715
918	47.8299554
919	47.79749299
920	47.77747813
921	47.75422714
922	47.7201514
923	47.68359855
924	47.64605513
925	47.6119059
926	47.58535262
927	47.56117443
928	47.53850393
929	47.50358413
930	47.47535551
931	47.44277582
932	47.42017921
933	47.39586531
934	47.35727573
935	47.33498286
936	47.30855401
937	47.26692723
938	47.23606235
939	47.20161642
940	47.16203475
941	47.11215048
942	47.07852017
943	47.06211641
944	47.01050984
945	46.96743807
946	46.93557834
947	46.87809629
948	46.86039358
949	46.8308755
950	46.76516217
951	46.73600355
952	46.69544309
953	46.65885573
954	46.61041087
955	46.56561677
956	46.54000327
957	46.50820318
958	46.46483765
959	46.44347403
960	46.41171881
961	46.36542493
962	46.33778394
963	46.28052816
964	46.25597761
965	46.23461109
966	46.21815107
967	46.15665583
968	46.13427336
969	46.11910122
970	46.08994806
971	46.05471769
972	45.99937569
973	45.98085726
974	45.95946126
975	45.94534486
976	45.92226706
977	45.87942156
978	45.83611804
979	45.81118274
980	45.78650744
981	45.73547517
982	45.7165437
983	45.69768459
984	45.66501052
985	45.6399696
986	45.5920035
987	45.55523996
988	45.54134705
989	45.52137004
990	45.49647743
991	45.44822244
992	45.40803955
993	45.39129816
994	45.36957289
995	45.32550628
996	45.30597608
997	45.28654627
998	45.25939628
999	45.23723599
